,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
5240,9,2,0,0,48.175,2,1900,9,0,0,0,1,0,2,0,0,0,3
5237,9,2,0,0,48.175,2,1900,9,0,0,0,1,0,2,0,0,0,3
26194,12,3,6,0,48.050000000000004,3,1841,3,0,0,0,1,8,4,0,0,1,1
20645,7,1,0,0,47.975,8,1895,8,0,0,0,0,0,2,0,0,0,7
3639,18,6,0,0,47.95,2,1897,7,0,0,0,0,0,0,0,0,0,2
21559,9,2,6,0,47.775,3,1830,3,0,0,0,1,7,4,0,0,1,7
5740,12,3,0,0,47.725,7,1903,2,0,0,0,0,0,0,0,0,0,3
10535,14,4,1,0,47.449999999999996,5,1865,7,0,0,0,0,0,1,0,0,0,4
7422,16,5,1,0,47.4,5,1863,7,0,0,0,0,1,3,0,0,1,3
15580,16,5,1,0,47.375,6,1802,27,0,0,0,0,1,4,0,0,1,5
26225,12,3,3,0,47.150000000000006,3,1841,3,0,0,0,1,8,4,0,0,1,1
17523,9,2,4,0,47.00000000000001,3,1823,3,0,0,0,1,8,4,0,0,1,6
17562,9,2,4,0,47.00000000000001,3,1823,3,0,0,0,1,8,4,0,0,1,6
17502,9,2,4,0,47.00000000000001,3,1823,3,0,0,0,1,8,4,0,0,1,6
17472,9,2,4,0,47.00000000000001,3,1823,3,0,0,0,1,8,4,0,0,1,6
16845,7,1,4,0,46.97500000000001,3,1822,3,0,0,0,1,8,4,0,0,1,6
16726,7,1,4,0,46.97500000000001,3,1822,3,0,0,0,1,8,3,0,0,1,6
26022,12,3,2,0,46.85000000000001,3,1841,3,0,0,0,1,7,3,0,0,1,1
14155,12,3,13,8,46.8,5,999,175,0,0,0,0,0,4,0,1,0,5
24122,18,6,2,0,46.75000000000001,3,1837,3,0,0,0,0,2,4,0,0,1,7
17582,9,2,11,1,46.7,5,1697,5,0,0,0,0,0,4,0,1,0,6
6180,12,3,2,0,46.650000000000006,7,1572,90,0,0,0,0,2,4,0,0,1,3
27925,18,6,1,0,46.6,3,1843,3,0,0,0,0,3,2,0,0,1,1
4823,7,1,0,1,46.550000000000004,9,1661,59,0,0,0,1,0,3,0,1,0,3
24849,7,1,1,0,46.425,7,1575,90,0,0,0,0,1,4,0,0,1,1
6719,14,4,0,0,46.325,5,1751,34,0,0,0,0,1,3,0,0,1,3
12121,18,6,0,0,46.275000000000006,7,1818,11,0,0,0,0,1,3,0,0,1,4
24793,7,1,0,0,46.225,3,1840,3,0,0,0,0,1,4,0,0,1,1
11469,16,5,9,1,46.075,5,1696,5,0,0,0,0,0,3,0,1,0,4
14437,14,4,0,0,45.95,9,1565,91,0,0,0,1,1,1,0,0,0,5
10335,14,4,0,0,45.95,9,1565,91,0,0,0,1,7,0,0,0,1,4
15906,18,6,3,1,45.95,4,1019,253,0,0,0,1,3,2,0,1,1,5
25154,9,2,0,0,45.900000000000006,9,1563,91,0,0,0,1,0,1,0,0,0,1
25178,10,2,0,0,45.900000000000006,9,1563,91,0,0,0,1,1,1,0,0,0,1
21574,9,2,0,0,45.9,7,1464,124,0,0,0,1,2,4,0,0,0,7
1294,9,2,1,0,45.875,3,1814,3,0,0,0,0,2,3,0,0,1,2
23331,16,5,5,3,45.825,7,1662,13,0,0,0,0,0,3,0,1,0,7
14729,14,4,1,0,45.525,9,1728,27,0,0,0,1,0,3,0,0,0,5
479,7,1,4,0,45.37500000000001,1,1749,6,0,0,0,1,8,3,0,0,1,2
22341,14,4,0,0,45.35000000000001,9,1706,36,0,0,0,1,0,0,0,0,0,7
